Channel1,channel2,channel3,channel4,channel5,channel6,Label
90,63,76,63,98,106,back
91,62,73,64,99,106,back
90,63,72,63,99,106,back
91,62,74,62,97,104,back
90,61,73,63,96,102,back
90,61,73,63,96,102,back
89,60,74,64,94,103,back
89,59,73,64,92,100,back
88,60,69,63,90,101,back
88,58,68,63,91,101,back
88,58,68,63,88,101,back
88,56,66,64,87,101,back
88,56,69,62,88,101,back
88,55,69,63,86,98,back
89,54,67,64,85,98,back
89,53,68,64,85,98,back
88,53,71,63,83,97,back
89,52,73,63,81,97,back
88,51,71,62,80,96,back
89,50,74,64,79,96,back
88,50,79,64,78,95,back
89,51,77,64,79,94,back
87,50,77,65,79,93,back
86,48,76,64,81,93,back
86,48,75,63,79,93,back
85,47,75,64,80,91,back
84,47,75,63,78,90,back
83,46,75,63,78,91,back
83,46,75,64,79,90,back
82,45,73,63,79,89,back
81,46,71,65,78,89,back
82,45,71,64,78,87,back
80,45,72,64,76,87,back
79,45,74,64,75,87,back
78,45,75,65,75,87,back
78,45,75,64,74,84,back
79,44,74,64,73,84,back
77,44,75,64,72,85,back
76,44,73,65,72,84,back
76,46,74,64,71,84,back
77,47,75,63,70,83,back
76,47,74,63,68,82,back
75,48,75,65,66,83,back
75,47,76,63,67,83,back
75,48,76,62,66,80,back
75,48,76,63,65,81,back
74,48,77,62,64,81,back
74,48,79,62,64,80,back
75,49,78,63,61,81,back
73,49,78,62,61,80,back
74,50,76,62,61,78,back
73,50,77,62,61,79,back
73,51,79,63,63,81,back
74,51,77,63,61,80,back
73,51,73,60,61,79,back
73,52,71,62,62,77,back
73,53,69,60,62,75,back
72,53,65,62,60,76,back
72,53,67,60,60,74,back
72,53,67,60,60,72,back
71,53,65,59,59,71,back
70,54,64,58,60,72,back
70,54,62,61,62,72,back
70,55,62,60,62,72,back
69,56,59,59,59,71,back
69,56,59,59,59,69,back
71,58,58,62,58,70,back
72,59,58,61,58,69,back
73,59,59,62,58,70,back
74,59,60,60,58,70,back
73,61,61,60,59,68,back
73,61,62,61,58,67,back
74,62,64,60,58,66,back
75,63,67,61,57,67,back
74,63,69,60,57,67,back
75,63,72,61,57,67,back
74,63,71,60,58,67,back
74,63,70,61,58,65,back
74,63,69,61,58,65,back
74,63,69,62,60,65,back
73,64,68,63,60,65,back
73,65,68,62,60,64,back
71,64,73,62,59,65,back
70,66,71,61,59,63,back
68,66,70,61,60,63,left
68,66,69,61,61,64,left
68,66,66,59,60,63,left
66,67,69,58,60,63,left
65,66,71,58,61,63,left
63,67,75,58,61,62,left
61,67,79,58,61,63,left
59,68,81,57,62,63,left
57,68,78,57,61,61,left
