Channel1,channel2,channel3,channel4,channel5,channel6,Label
112,96,67,60,140,94,front
111,96,67,60,139,94,front
112,96,70,59,147,93,front
111,95,71,62,149,95,front
112,95,71,61,150,96,front
112,95,73,64,154,96,front
113,94,71,70,157,96,front
113,94,69,83,157,97,front
113,94,70,88,157,97,front
113,94,71,90,160,96,front
114,93,70,93,162,96,front
114,92,68,94,163,99,front
114,91,69,89,163,98,front
114,89,70,92,163,99,front
114,88,73,92,164,103,front
115,87,74,91,168,104,front
115,86,74,90,169,104,front
115,84,75,87,169,104,front
115,84,72,86,169,106,front
115,83,73,89,169,107,front
115,81,74,86,168,105,front
115,81,75,87,168,106,front
115,80,75,86,168,109,front
114,78,76,87,168,112,front
115,78,76,86,169,112,front
115,76,78,85,169,115,front
114,75,77,84,168,116,front
115,74,78,82,167,118,front
116,73,77,79,171,121,front
116,72,77,82,169,123,front
115,71,77,82,169,123,front
115,69,79,83,167,125,front
116,67,79,83,170,127,front
114,66,78,82,168,130,front
113,64,78,83,167,131,front
111,62,75,79,168,132,front
110,60,77,79,169,133,front
109,58,75,83,168,135,front
108,56,74,81,167,138,front
106,54,74,81,166,138,front
105,53,73,80,164,139,front
103,53,72,84,165,140,front
102,51,72,85,165,140,front
102,51,71,86,162,141,front
101,50,70,87,160,140,front
100,80,62,78,51,107,front
100,78,61,80,52,108,front
100,80,61,82,51,108,front
101,81,60,79,52,107,front
101,81,61,81,53,107,front
102,81,63,82,55,103,front
102,81,63,85,54,102,front
102,84,63,84,53,100,front
103,84,62,83,54,98,front
103,87,63,84,53,95,front
103,88,63,85,55,93,front
104,87,61,84,52,89,front
104,85,62,87,54,87,front
104,84,61,88,54,83,front
105,84,62,88,54,80,front
106,82,62,88,54,77,front
109,81,64,90,54,74,front
109,83,63,90,54,70,front
110,84,64,90,54,68,front
111,80,64,91,54,66,front
112,84,63,92,55,63,front
113,84,63,91,54,62,front
114,82,63,89,53,63,front
115,85,63,92,52,64,front
116,85,63,91,52,67,front
116,86,63,91,52,70,front
117,85,64,92,51,75,front
117,82,66,91,52,79,front
117,82,69,92,52,84,front
116,81,70,91,52,90,front
114,82,70,90,54,96,front
100,51,69,85,161,142,back
99,50,71,86,159,140,back
98,50,71,86,158,141,back
97,51,69,84,156,143,back
96,52,72,82,153,142,back
95,54,74,83,153,141,back
94,54,76,82,151,140,back
93,56,79,83,151,140,back
92,56,77,80,149,139,back
91,58,74,80,149,139,back
91,58,72,80,149,137,back
90,59,71,78,148,136,back
89,60,71,79,147,136,back
88,60,72,80,144,136,back
88,60,72,79,145,134,back
87,62,73,78,146,134,back
86,63,71,77,143,132,back
86,63,69,78,142,129,back
85,63,72,75,141,129,back
85,64,72,75,139,129,back
85,64,71,77,136,127,back
86,64,75,76,135,126,back
86,64,76,77,135,126,back
86,64,76,75,133,126,back
86,65,74,77,131,124,back
87,65,71,74,129,123,back
88,65,72,74,128,118,back
87,65,72,73,126,120,back
88,65,74,73,126,120,back
88,65,77,72,123,119,back
87,65,79,73,122,115,back
87,66,77,72,121,117,back
87,66,76,69,118,118,back
87,65,77,68,118,119,back
88,65,75,67,116,117,back
89,66,75,65,115,113,back
88,65,78,65,114,113,back
88,65,79,65,112,113,back
89,66,79,66,109,112,back
89,66,77,66,109,113,back
90,65,74,66,109,112,back
90,64,75,65,108,110,back
90,65,84,64,106,109,back
90,65,82,64,104,109,back
90,65,79,62,105,108,back
92,65,78,61,104,108,back
91,64,79,64,104,107,back
92,63,77,64,102,105,back
91,63,76,63,100,105,back
90,63,76,63,98,106,back
91,62,73,64,99,106,back
90,63,72,63,99,106,back
91,62,74,62,97,104,back
90,61,73,63,96,102,back
90,61,73,63,96,102,back
89,60,74,64,94,103,back
89,59,73,64,92,100,back
88,60,69,63,90,101,back
88,58,68,63,91,101,back
88,58,68,63,88,101,back
88,56,66,64,87,101,back
88,56,69,62,88,101,back
88,55,69,63,86,98,back
89,54,67,64,85,98,back
89,53,68,64,85,98,back
88,53,71,63,83,97,back
89,52,73,63,81,97,back
88,51,71,62,80,96,back
89,50,74,64,79,96,back
88,50,79,64,78,95,back
89,51,77,64,79,94,back
87,50,77,65,79,93,back
86,48,76,64,81,93,back
86,48,75,63,79,93,back
85,47,75,64,80,91,back
84,47,75,63,78,90,back
83,46,75,63,78,91,back
83,46,75,64,79,90,back
82,45,73,63,79,89,back
81,46,71,65,78,89,back
82,45,71,64,78,87,back
80,45,72,64,76,87,back
79,45,74,64,75,87,back
78,45,75,65,75,87,back
78,45,75,64,74,84,back
79,44,74,64,73,84,back
77,44,75,64,72,85,back
76,44,73,65,72,84,back
76,46,74,64,71,84,back
77,47,75,63,70,83,back
76,47,74,63,68,82,back
75,48,75,65,66,83,back
75,47,76,63,67,83,back
75,48,76,62,66,80,back
75,48,76,63,65,81,back
74,48,77,62,64,81,back
74,48,79,62,64,80,back
75,49,78,63,61,81,back
73,49,78,62,61,80,back
74,50,76,62,61,78,back
73,50,77,62,61,79,back
102,79,97,54,121,98,start
104,80,103,56,121,97,start
106,80,98,55,122,96,start
107,81,96,55,123,95,start
108,83,95,53,123,96,start
109,83,96,54,122,95,start
111,82,93,52,123,93,start
112,84,95,53,124,91,start
114,82,95,52,123,90,start
115,81,99,53,126,95,start
116,82,99,52,125,90,start
118,83,95,53,123,88,start
120,81,91,53,124,86,start
122,82,92,54,128,85,start
124,81,91,54,125,85,start
125,77,97,55,123,87,start
126,75,102,53,123,86,start
127,75,100,55,122,83,start
128,76,98,55,123,82,start
129,76,93,55,127,80,start
130,77,92,55,123,78,start
131,82,93,55,121,79,start
131,82,91,54,120,79,start
133,83,88,56,120,77,start
134,84,85,56,120,77,start
134,85,85,57,119,74,start
134,87,82,57,120,74,start
134,89,81,57,120,73,start
134,95,81,57,118,73,start
134,100,81,56,117,71,start
133,102,80,56,116,70,start
134,105,78,56,115,70,start
133,105,80,57,115,70,start
132,111,78,56,117,71,start
131,115,75,56,114,68,start
130,120,76,60,112,66,start
128,123,78,60,112,65,start
128,127,81,60,112,64,start
127,129,81,59,112,64,start
125,132,79,57,109,65,start
125,134,77,57,109,64,start
124,137,76,58,109,61,start
123,140,77,60,106,61,start
122,142,80,60,106,60,start
121,145,77,60,105,61,start
119,146,82,62,105,63,start
119,146,81,61,103,63,start
117,148,83,59,103,61,start
117,144,84,59,102,61,start
116,149,83,58,101,62,start
114,148,80,58,101,61,start
113,151,81,58,99,61,start
111,151,83,59,98,60,start
111,150,89,58,97,60,start
109,147,86,58,98,61,start
107,147,86,59,96,62,start
106,146,83,60,96,60,start
104,144,83,61,96,59,start
102,144,85,63,94,59,start
127,75,100,55,122,83,start
128,76,98,55,123,82,start
129,76,93,55,127,80,start
130,77,92,55,123,78,start
131,82,93,55,121,79,start
131,82,91,54,120,79,start
133,83,88,56,120,77,start
134,84,85,56,120,77,start
134,85,85,57,119,74,start
134,87,82,57,120,74,start
134,89,81,57,120,73,start
134,95,81,57,118,73,start
134,100,81,56,117,71,start
133,102,80,56,116,70,start
134,105,78,56,115,70,start
133,105,80,57,115,70,start
132,111,78,56,117,71,start
131,115,75,56,114,68,start
130,120,76,60,112,66,start
128,123,78,60,112,65,start
128,127,81,60,112,64,start
127,129,81,59,112,64,start
125,132,79,57,109,65,start
125,134,77,57,109,64,start
124,137,76,58,109,61,start
123,140,77,60,106,61,start
122,142,80,60,106,60,start
121,145,77,60,105,61,start
119,146,82,62,105,63,start
119,146,81,61,103,63,start
117,148,83,59,103,61,start
117,144,84,59,102,61,start
106,80,98,55,122,96,start
107,81,96,55,123,95,start
108,83,95,53,123,96,start
109,83,96,54,122,95,start
111,82,93,52,123,93,start
112,84,95,53,124,91,start
114,82,95,52,123,90,start
115,81,99,53,126,95,start
116,82,99,52,125,90,start
118,83,95,53,123,88,start
99,140,87,62,92,64,stop
98,135,87,63,92,64,stop
97,135,83,65,91,63,stop
95,136,82,64,90,64,stop
93,133,80,65,91,66,stop
92,131,78,66,90,67,stop
90,129,85,65,89,68,stop
88,125,81,63,89,69,stop
87,128,83,62,90,69,stop
86,125,85,62,89,69,stop
84,126,87,62,89,71,stop
83,123,87,61,89,74,stop
82,122,85,61,89,72,stop
80,121,85,59,89,74,stop
78,116,84,58,89,75,stop
78,118,88,58,88,80,stop
76,118,92,56,87,77,stop
74,117,90,56,86,78,stop
72,116,90,55,87,78,stop
71,112,85,54,85,79,stop
69,110,86,57,84,83,stop
68,109,94,56,84,85,stop
67,108,93,56,83,84,stop
66,105,90,57,82,84,stop
64,105,92,57,81,85,stop
63,102,91,56,80,86,stop
63,99,89,56,80,92,stop
61,97,89,57,78,89,stop
60,97,93,58,78,90,stop
59,95,93,56,76,90,stop
57,93,101,56,75,92,stop
57,89,102,57,73,93,stop
55,88,100,59,73,94,stop
54,87,98,59,71,95,stop
53,84,95,59,70,96,stop
51,84,92,60,69,95,stop
51,81,96,62,67,96,stop
50,79,98,62,66,97,stop
48,78,96,63,66,97,stop
48,79,98,64,67,97,stop
48,77,93,64,64,98,stop
47,75,93,64,62,97,stop
46,72,97,67,60,98,stop
45,69,104,67,63,101,stop
45,69,106,68,61,100,stop
45,66,105,68,59,100,stop
45,68,101,72,58,102,stop
44,65,99,75,56,99,stop
44,67,98,73,54,100,stop
45,70,94,74,56,100,stop
46,69,92,76,56,101,stop
46,68,94,78,55,101,stop
47,67,96,82,54,100,stop
47,67,91,85,52,101,stop
48,70,93,85,53,100,stop
48,67,95,87,53,100,stop
50,69,95,90,54,100,stop
49,67,95,94,53,98,stop
52,68,95,95,53,98,stop
52,70,94,96,52,96,stop
53,70,94,98,51,96,stop
53,70,98,101,52,98,stop
54,70,96,101,52,94,stop
54,72,92,102,52,93,stop
54,73,92,107,52,93,stop
55,78,92,108,50,92,stop
56,75,92,109,52,90,stop
57,79,90,113,54,90,stop
59,77,90,117,56,90,stop
59,78,91,117,56,89,stop
60,80,95,117,56,89,stop
62,80,93,118,54,88,stop
63,80,93,121,54,86,stop
64,86,88,123,55,85,stop
65,84,87,121,56,86,stop
68,82,87,122,58,84,stop
69,82,89,124,57,83,stop
71,82,88,128,58,81,stop
71,86,90,127,57,80,stop
74,89,87,129,58,80,stop
75,87,86,130,59,79,stop
77,88,86,132,59,77,stop
79,89,83,135,59,77,stop
80,88,81,137,59,75,stop
